mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__l2_leaf_reg,param_model__iterations,param_model__depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.4413546721140544,0.0825443693357233,0.010746161142985025,0.00030935073760360586,0.01,7,100,6,"{'model__learning_rate': 0.01, 'model__l2_leaf_reg': 7, 'model__iterations': 100, 'model__depth': 6}",0.8953125,0.8646540027137042,0.9397644927536232,0.8999103318224425,0.030835601411461515,4,0.9323155216284987,0.9399325084364454,0.9287750087750088,0.9336743462799845,0.004655266050317123
0.40618403752644855,0.04441930463080561,0.012834628423055014,0.002967203081046812,0.05,5,200,3,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 200, 'model__depth': 3}",0.9177959957615303,0.9097693351424694,0.9322695637413003,0.9199449648817666,0.00931051817246529,2,0.9962401232561098,0.9887615225962145,0.9887615225962145,0.9912543894828462,0.003525446160265414
0.16777276992797852,0.01858689117059372,0.010888894399007162,0.0006996183301872626,0.05,7,100,5,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 100, 'model__depth': 5}",0.8954292084726867,0.8645927601809955,0.9321928284144338,0.8974049323560388,0.027632950378594697,6,0.943601848841647,0.9512424672351065,0.9400336889387984,0.944959335005184,0.004675557309889594
0.42296775182088214,0.012248654379568243,0.009588400522867838,0.0010872993206166193,0.05,1,300,5,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 300, 'model__depth': 5}",0.9177959957615303,0.9022335312411648,0.9398190045248869,0.9199495105091939,0.015419579973022405,1,1.0,1.0,1.0,1.0,0.0
0.3583677609761556,0.03518443132155043,0.009710152943929037,0.0005531987312417707,0.1,5,200,4,"{'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 200, 'model__depth': 4}",0.9102678571428571,0.9022335312411648,0.9248077792853913,0.9124363892231377,0.009342593045758064,3,1.0,1.0,1.0,1.0,0.0
0.293363094329834,0.051792070789760905,0.009492079416910807,0.0011236312981439459,0.01,1,200,3,"{'model__learning_rate': 0.01, 'model__l2_leaf_reg': 1, 'model__iterations': 200, 'model__depth': 3}",0.9252232142857143,0.857110545660164,0.9169929078014185,0.8997755559157655,0.0303552500817602,5,0.9360820953538667,0.9437697437697438,0.9362007168458781,0.9386841853231629,0.003596358927191462
